Seed_Type,Age_Weeks,Stage_Description,Avg_Height_in,Soil_Type,Fertilizer,Care_Instructions,Ready_to_Sell
Mango,1,Seed Preparation,0.0,Loam Soil,,Soak seeds in water for 24 hours. Prepare well-draining potting mix. Plant seeds 1-2 inches deep.,0
Mango,2,Germination,2.0,Loam Soil,,Keep soil moist but not waterlogged. Maintain 25-30°C temperature. Provide shade and high humidity.,0
Mango,3,Germination,4.0,Loam Soil,,Keep soil moist but not waterlogged. Maintain 25-30°C temperature. Provide shade and high humidity.,0
Mango,4,Cotyledon Stage,5.6,Loam Soil,Starter Solution (20-20-20),Cotyledons emerging. Continue moisture management. Gradually introduce indirect light for 2-3 hours daily.,0
Mango,5,Cotyledon Stage,7.2,Loam Soil,Starter Solution (20-20-20),Cotyledons emerging. Continue moisture management. Gradually introduce indirect light for 2-3 hours daily.,0
Mango,6,First True Leaves,8.8,Loam Soil,Starter Solution (20-20-20),First true leaves developing. Apply diluted starter fertilizer. Increase light exposure to 4-5 hours daily.,0
Mango,7,First True Leaves,10.4,Loam Soil,Starter Solution (20-20-20),First true leaves developing. Apply diluted starter fertilizer. Increase light exposure to 4-5 hours daily.,0
Mango,8,First True Leaves,12.0,Loam Soil,Starter Solution (20-20-20),First true leaves developing. Apply diluted starter fertilizer. Increase light exposure to 4-5 hours daily.,0
Mango,9,Seedling Establishment,12.21,Loam Soil,Balanced NPK (14-14-14),Water when top inch of soil is dry. Apply balanced fertilizer bi-weekly. Provide 6-8 hours of sunlight.,0
Mango,10,Seedling Establishment,12.43,Loam Soil,Balanced NPK (14-14-14),Water when top inch of soil is dry. Apply balanced fertilizer bi-weekly. Provide 6-8 hours of sunlight.,0
Mango,11,Seedling Establishment,12.64,Loam Soil,Balanced NPK (14-14-14),Water when top inch of soil is dry. Apply balanced fertilizer bi-weekly. Provide 6-8 hours of sunlight.,0
Mango,12,Vegetative Growth,12.86,Loam Soil,Balanced NPK (14-14-14),Full sun exposure. Fertilize every 2 weeks. Monitor for pests. Ensure proper stem development.,0
Mango,13,Vegetative Growth,13.07,Loam Soil,Balanced NPK (14-14-14),Full sun exposure. Fertilize every 2 weeks. Monitor for pests. Ensure proper stem development.,0
Mango,14,Pre-Grafting,13.29,Loam Soil,High Phosphorus (10-30-10),Prepare rootstock for grafting. Ensure stem diameter reaches 0.3-0.5 inches. Maintain optimal nutrition.,0
Mango,15,Pre-Grafting,13.5,Loam Soil,High Phosphorus (10-30-10),Prepare rootstock for grafting. Ensure stem diameter reaches 0.3-0.5 inches. Maintain optimal nutrition.,0
Mango,16,Pre-Grafting,13.71,Loam Soil,High Phosphorus (10-30-10),Prepare rootstock for grafting. Ensure stem diameter reaches 0.3-0.5 inches. Maintain optimal nutrition.,0
Mango,17,Pre-Grafting,13.93,Loam Soil,High Phosphorus (10-30-10),Prepare rootstock for grafting. Ensure stem diameter reaches 0.3-0.5 inches. Maintain optimal nutrition.,0
Mango,18,Grafting Ready,14.14,Loam Soil,High Phosphorus (10-30-10),Optimal grafting period. Select healthy rootstock with proper stem diameter. Maintain consistent care.,0
Mango,19,Grafting Ready,14.36,Loam Soil,High Phosphorus (10-30-10),Optimal grafting period. Select healthy rootstock with proper stem diameter. Maintain consistent care.,0
Mango,20,Grafting Ready,14.57,Loam Soil,High Phosphorus (10-30-10),Optimal grafting period. Select healthy rootstock with proper stem diameter. Maintain consistent care.,0
Mango,21,Grafting Ready,14.79,Loam Soil,High Phosphorus (10-30-10),Optimal grafting period. Select healthy rootstock with proper stem diameter. Maintain consistent care.,0
Mango,22,Market Ready,15.0,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,23,Market Ready,15.3,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,24,Market Ready,15.6,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,25,Market Ready,15.9,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,26,Market Ready,16.2,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,27,Market Ready,16.5,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,28,Market Ready,16.8,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,29,Market Ready,17.1,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
Mango,30,Market Ready,17.4,Loam Soil,Maintenance (5-5-10),Ready for sale or field planting. Maintain health with minimal fertilization.,1
